Question,Class,Head,Head_POS,Neck_Label,Root_POS,PER,LOC,OBJ,TEM,NUM
What is the full form of .com ?,ABBR,What,WP,ROOT,VBZ,0,0,0,0,0
What does the abbreviation AIDS stand for ?,ABBR,What,WP,aux,VB,0,0,0,0,0
What does INRI stand for when used on Jesus ' cross ?,ABBR,What,WP,aux,VB,1,1,0,0,0
What does S.O.S. stand for ?,ABBR,What,WP,aux,VB,0,1,0,0,0
CNN is the abbreviation for what ?,ABBR,CNN,NNP,ROOT,VBZ,0,1,0,0,0
What does ' PSI ' stand for ?,ABBR,What,WP,aux,NN,0,1,0,0,0
What is the abbreviation for micro ?,ABBR,What,WP,ROOT,VBZ,0,0,0,0,0
What does NASDAQ stand for ?,ABBR,What,WP,aux,VB,0,1,0,0,0
What is BPH ?,ABBR,What,WP,ROOT,VBZ,0,1,0,0,0
What is the abbreviation of the company name ' General Motors ' ?,ABBR,What,WP,ROOT,VBZ,0,1,0,0,0
What does G.M.T. stand for ?,ABBR,What,WP,aux,VB,1,0,0,0,0
What does SIDS stand for ?,ABBR,What,WP,aux,VB,0,0,0,0,0
What is the abbreviated expression for the National Bureau of Investigation ?,ABBR,What,WP,ROOT,VBZ,0,1,0,0,0
What does NAFTA stand for ?,ABBR,What,WP,np,VB,0,0,0,0,0
What is the full name of the PLO ?,ABBR,What,WP,ROOT,VBZ,0,1,0,0,0
What does the word LASER mean ?,ABBR,What,WP,aux,VB,1,0,0,0,0
What does NN O '' mean when used as a prefix in Irish surnames ?,ABBR,What,WP,ROOT,VBZ,1,0,0,0,0
What does the abbreviation cwt. ?,ABBR,What,WP,ROOT,VBZ,0,0,0,0,0
What do the letters ZIP stand for in the phrase '' ZIP code '' ?,ABBR,What,WP,intj,WP,0,0,0,0,0
What does e.g. stand for ?,ABBR,What,WP,aux,VB,0,0,0,0,0
What does IBM stand for ?,ABBR,What,WP,aux,VB,0,1,0,0,0
What does U.S.S.R. stand for ?,ABBR,What,WP,aux,VB,0,1,0,0,0
What does NECROSIS mean ?,ABBR,What,WP,aux,VB,0,0,0,0,0
What is the abbreviation of General Motors ?,ABBR,What,WP,ROOT,VBZ,0,1,0,0,0
What does CNN stand for ?,ABBR,What,WP,aux,VB,0,1,0,0,0
What's the abbreviation for trinitrotoluene ?,ABBR,What,WP,ROOT,VBZ,0,0,0,0,0
What is IOC an abbreviation of ?,ABBR,What,WP,ROOT,VBZ,0,1,0,0,0
What is the abbreviated form of the National Bureau of Investigation ?,ABBR,What,WP,ROOT,VBZ,0,1,0,0,0
What does the '' c '' stand for in the equation E=mc2 ?,ABBR,What,WP,aux,VBN,0,0,0,0,0
What is a '' USB '' port on a computer ?,ABBR,What,WP,ROOT,VBZ,0,1,0,0,0
What does LOL mean ?,ABBR,What,WP,aux,VB,0,1,0,0,0
What does IOC stand for ?,ABBR,What,WP,aux,VB,0,1,0,0,0
What is the acronym for the National Bureau of Investigation ?,ABBR,What,WP,ROOT,VBZ,0,1,0,0,0
What is the abbreviated term used for the National Bureau of Investigation ?,ABBR,What,WP,ROOT,VBZ,0,1,0,0,0
What is RCD ?,ABBR,What,WP,ROOT,VBZ,0,1,0,0,0
What does SHIELD stand for ?,ABBR,What,WP,aux,VB,0,1,0,0,0
What's the abbreviation for limited partnership ?,ABBR,What,WP,ROOT,VBZ,0,0,0,0,0
What does the abbreviation IOC stand for ?,ABBR,What,WP,aux,VB,0,1,0,0,0
What is the abbreviation of the National Bureau of Investigation ?,ABBR,What,WP,ROOT,VBZ,0,1,0,0,0
What is HTML ?,ABBR,What,WP,ROOT,VBZ,0,0,0,0,0
What does A&W of root beer fame stand for ?,ABBR,What,WP,aux,NN,0,0,0,0,0
What is AFS ?,ABBR,What,WP,ROOT,VBZ,0,1,0,0,0
What is DEET ?,ABBR,What,WP,ROOT,VBZ,0,0,0,1,0
What is DTMF ?,ABBR,What,WP,ROOT,VBZ,0,1,0,0,0
What does JESSICA mean ?,ABBR,What,WP,aux,VB,0,1,0,0,0
What does MSG stand for ?,ABBR,What,WP,aux,VB,0,1,0,0,0
What does the E stand for in the equation E=mc2 ?,ABBR,What,WP,aux,VBN,0,0,0,0,0
What does VCR stand for ?,ABBR,What,WP,aux,VB,0,0,0,0,0
What does the channel ESPN stand for ?,ABBR,What,WP,aux,VB,0,1,0,0,0
CNN is an acronym for what ?,ABBR,CNN,NNP,ROOT,VBZ,0,1,0,0,0
What does NASA stand for ?,ABBR,What,WP,aux,VB,0,1,0,0,0
What does the number '' 5 '' stand for on FUBU clothing ?,ABBR,What,WP,aux,NN,0,0,0,0,1
What does BTU mean ?,ABBR,What,WP,aux,VB,0,0,0,0,0
What does the abbreviation OAS stand for ?,ABBR,What,WP,aux,VB,0,1,0,0,0
What does HIV stand for ?,ABBR,What,WP,aux,VB,0,0,0,0,0
What is HDLC ?,ABBR,What,WP,ROOT,VBZ,0,1,0,0,0
What is the abbreviation for Original Equipment Manufacturer ?,ABBR,What,WP,ROOT,VBZ,0,1,0,0,0
What does snafu stand for ?,ABBR,What,WP,aux,VB,0,0,0,0,0
What does the T.S. stand for in T.S. Eliot's name ?,ABBR,What,WP,aux,VB,0,1,0,0,0
What does IQ stand for ?,ABBR,What,WP,aux,VB,0,0,0,0,0
What is RAM in the computer ?,ABBR,What,WP,ROOT,VBZ,0,0,0,0,0
What is SVHS ?,ABBR,What,WP,ROOT,VBZ,1,0,0,0,0
What is SAP ?,ABBR,What,WP,ROOT,VBZ,0,1,0,0,0
What is the correct way to abbreviate cc. at the bottom of a business letter ?,ABBR,What,WP,ROOT,IN,0,0,0,0,0
What does BMW stand for ?,ABBR,What,WP,aux,VB,0,1,0,0,0
What is LMDS ?,ABBR,What,WP,ROOT,VBZ,0,1,0,0,0
What does '' B.Y.O.B. '' mean ?,ABBR,What,WP,np,VB,0,0,1,0,0
What does the acronym CPR mean ?,ABBR,What,WP,aux,VB,0,1,0,0,0
